epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2276.44,1.22104,1.62768,0.91708,0.97032,0.375,0.47184,0.27508,0.82739,1.87626,0.66709,0.000638047,0.000638047,0.000638047
45,2327.98,0.94468,1.25435,0.67325,0.97032,0.375,0.47184,0.27508,0.82739,1.87626,0.66709,0.000627048,0.000627048,0.000627048
46,2366.82,1.35283,1.37761,0.95688,0.97032,0.375,0.47184,0.27508,0.82739,1.87626,0.66709,0.000616049,0.000616049,0.000616049
47,2436.42,1.27568,1.52964,1.01091,0.94344,0.49092,0.5941,0.34241,0.70018,2.13513,0.59939,0.000605051,0.000605051,0.000605051
48,2497.57,1.5114,1.28242,0.9225,0.94344,0.49092,0.5941,0.34241,0.70018,2.13513,0.59939,0.000594052,0.000594052,0.000594052
49,2560.02,1.36151,1.41261,0.91058,0.94344,0.49092,0.5941,0.34241,0.70018,2.13513,0.59939,0.000583053,0.000583053,0.000583053
50,2634.72,0.73872,1.08822,0.66585,0.94177,0.5,0.96722,0.57355,0.69795,1.35432,0.58475,0.000572054,0.000572054,0.000572054
51,2700.55,0.75832,1.07436,0.52256,0.94177,0.5,0.96722,0.57351,0.69795,1.35432,0.58475,0.000561055,0.000561055,0.000561055
52,2762.43,1.27336,1.54981,0.84869,0.94177,0.5,0.96722,0.57351,0.69795,1.35432,0.58475,0.000550056,0.000550056,0.000550056
53,2834.49,0.89401,1.06067,0.606,0.94435,0.49914,0.56653,0.34666,0.6558,0.95183,0.57033,0.000539057,0.000539057,0.000539057
54,2889.32,1.09613,1.15967,0.69357,0.94435,0.49914,0.56653,0.34666,0.6558,0.95183,0.57033,0.000528058,0.000528058,0.000528058
55,2918.05,0.95733,1.13818,0.66496,0.94435,0.49914,0.56653,0.34666,0.6558,0.95183,0.57033,0.000517059,0.000517059,0.000517059
56,2959.25,1.19524,1.40583,0.72633,0.89787,0.488,0.572,0.39473,0.55547,0.85834,0.5495,0.00050606,0.00050606,0.00050606
57,3014.72,0.94411,1.07675,0.66284,0.89787,0.488,0.572,0.39473,0.55547,0.85834,0.5495,0.000495062,0.000495062,0.000495062
58,3049.77,1.13343,1.06348,0.882,0.89787,0.488,0.572,0.39473,0.55547,0.85834,0.5495,0.000484063,0.000484063,0.000484063
59,3105.28,0.7353,0.90251,0.64366,0.89787,0.488,0.572,0.39473,0.55547,0.85834,0.5495,0.000473064,0.000473064,0.000473064
60,3179.97,0.47624,0.76324,0.35034,0.93314,0.4375,0.43919,0.32045,0.55732,0.9633,0.56061,0.000462065,0.000462065,0.000462065
61,3211.67,0.74503,1.01088,0.59311,0.95629,0.5,0.53067,0.39674,0.55732,0.9633,0.56061,0.000451066,0.000451066,0.000451066
62,3235.95,0.5013,0.99239,0.35817,0.95629,0.5,0.53067,0.39674,0.55732,0.9633,0.56061,0.000440067,0.000440067,0.000440067
63,3289.24,0.56321,0.78291,0.42897,0.98889,0.5,0.58042,0.37073,0.6169,0.89812,0.57403,0.000429068,0.000429068,0.000429068
64,3331.59,0.43512,0.66335,0.32572,0.98889,0.5,0.58042,0.37057,0.6169,0.89812,0.57403,0.000418069,0.000418069,0.000418069
65,3364.04,1.13666,1.06933,0.66655,0.98889,0.5,0.58042,0.37057,0.6169,0.89812,0.57403,0.00040707,0.00040707,0.00040707
66,3406.06,0.66599,0.87717,0.49454,0.98895,0.5,0.58042,0.34339,0.68724,0.83152,0.58656,0.000396071,0.000396071,0.000396071
67,3437.28,0.9686,1.02927,0.69255,0.98895,0.5,0.58042,0.34339,0.68724,0.83152,0.58656,0.000385073,0.000385073,0.000385073
68,3467.12,0.51565,0.77827,0.47874,0.98895,0.5,0.58042,0.34339,0.68724,0.83152,0.58656,0.000374074,0.000374074,0.000374074
69,3509.82,0.63497,0.74205,0.43105,0.99363,0.5,0.74625,0.48682,0.72129,0.80739,0.58907,0.000363075,0.000363075,0.000363075
70,3535.8,0.79292,0.84399,0.71534,0.99363,0.5,0.74625,0.48682,0.72129,0.80739,0.58907,0.000352076,0.000352076,0.000352076
71,3568.12,0.62907,0.71706,0.45327,0.99363,0.5,0.74625,0.48682,0.72129,0.80739,0.58907,0.000341077,0.000341077,0.000341077
72,3659.07,0.86186,0.82271,0.63018,0.5988,1,0.995,0.69935,0.63981,0.76261,0.56104,0.000330078,0.000330078,0.000330078
73,3702.73,0.69832,0.86183,0.56794,0.5988,1,0.995,0.69934,0.63981,0.76261,0.56104,0.000319079,0.000319079,0.000319079
74,3739.34,1.25014,1.49716,0.93139,0.5988,1,0.995,0.69934,0.63981,0.76261,0.56104,0.00030808,0.00030808,0.00030808
75,3785.92,0.73936,0.74416,0.58332,0.5988,1,0.995,0.69934,0.63981,0.76261,0.56104,0.000297081,0.000297081,0.000297081
76,3849.53,0.84186,0.8651,0.7558,0.9,1,0.995,0.7462,0.57497,0.73162,0.56229,0.000286083,0.000286083,0.000286083
77,3883.29,0.65329,0.72315,0.57652,0.9,1,0.995,0.7462,0.57497,0.73162,0.56229,0.000275084,0.000275084,0.000275084
78,3908.65,0.55533,0.71881,0.51404,0.9,1,0.995,0.7462,0.57497,0.73162,0.56229,0.000264085,0.000264085,0.000264085
